registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
57113,IBM PC-xt,"Salvador, Raphael Machado Silva,",IBM Computador pessoal XT,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57116,Ligação micro-mainframe,"Iizuka, Kenji.",Microcomputadores,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
57148,Projeto de computadores,"Langdon Júnior, Glen George.",Computadores digitais eletrônicos -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57152,Introduction to numerical methods and FORTRAN programming,"McCalla, Thomas Richard.",FORTRAN (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57156,Computer system architecture,"Mano, M. Morris,",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57159,Introdução a programação funcional,"Meira, Silvio Romero de Lemos.",Escola de Computação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57162,Projeto de computadores digitais,"Langdon Júnior, Glen George.",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57164,Computer organization and microprogramming,"Chu, Yaohan.",Computação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57166,Projeto lógico e projeto físico de bancos de dados,"Setzer, Valdemar W.",Banco de dados,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57167,Controle de projetos de software :,"DeMarco, Tom.",Programação (Computadores) -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
57172,Fundamentals of artificial intelligence :,,Inteligência artificial,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57173,Relational database :,"Date, C. J.,",Banco de dados -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57175,Introdução a computação gráfica,"Persiano, Ronaldo César Marinho.",Computação gráfica,Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
57176,Computação gráfica :,"Magalhães, Léo Pini.",Computação gráfica,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
