id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,registro_sistema,circulavel,grupo_cdd
41138,L157916,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C812i 2.ed.,16155,True,primario_004
1425818,2025007446,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004 M515i,16593,True,primario_004
40757,L129269,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 M515i 2.ed.,16594,True,primario_004
40758,L129270,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 M515i 2.ed.,16594,True,primario_004
40761,L129273,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 M515i 2.ed.,16594,True,primario_004
40760,L129272,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 M515i 2.ed.,16594,True,primario_004
40759,L129271,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 M515i 2.ed.,16594,True,primario_004
41061,L110442,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 Y81a,16681,True,primario_004
41395,L135199,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.89 A286m,16773,True,primario_004
42692,L151951,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.725.5 O67c,17097,True,primario_004
42964,L151962,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42962,L147169,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42965,L154748,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42960,L147167,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42957,L144143,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004 C376a,17141,True,primario_004
42968,L159505,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42959,L147166,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42967,L159504,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42969,L159506,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42958,L144144,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42961,L147168,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42972,L200174,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376d,17141,True,primario_004
42966,L154749,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42970,L193924,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
42963,L147170,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
